machine_id,machine_age,usage_intensity,operating_temp,load_factor,rpm,vibration_level,oil_quality,maintenance_count,environment,manufacturer,observed_time,event_observed
M0307,7.74,1.57,65.23,0.56,1692,5.031,0.376,17,outdoor,A,114.69,1
M0308,4.84,1.7,97.02,0.35,2075,4.197,0.367,4,harsh,A,84.63,1
M0309,11.93,1.01,66.83,0.56,2572,8.931,0.526,5,outdoor,C,50.95,1
M0310,4.06,1.72,80.71,0.62,2459,8.992,0.809,6,indoor,A,130.06,1
M0311,6.58,0.62,90.44,0.81,1193,3.69,0.362,14,harsh,B,41.33,1
M0312,1.18,1.84,112.45,0.76,2852,6.343,0.524,0,harsh,B,29.83,1
M0313,0.38,1.32,89.61,0.8,811,9.306,0.671,3,outdoor,A,41.8,1
M0314,14.44,1.73,102.14,0.31,2688,9.64,0.269,0,outdoor,B,47.18,1
M0315,12.54,1.18,119.57,0.45,2927,5.335,0.278,10,harsh,B,81.74,1
M0316,10.44,1.47,67.89,0.76,943,4.802,0.933,17,outdoor,B,135.9,1
M0317,6.13,1.29,76.48,0.64,2305,3.148,0.724,13,harsh,C,45.09,1
M0318,2.6,1.6,83.67,0.3,601,9.609,0.577,10,indoor,A,117.13,1
M0319,2.35,0.62,85.31,0.86,1514,1.857,0.648,9,indoor,A,164.38,1
M0320,3.75,0.59,84.66,0.84,1791,6.008,0.029,16,outdoor,C,47.28,1
M0321,8.24,0.87,114.46,0.68,1952,3.184,0.618,3,outdoor,A,40.25,1
M0322,10.72,0.74,102.84,0.35,2840,3.151,0.51,14,harsh,B,132.68,1
M0323,9.9,1.81,96.47,0.84,2181,4.347,0.546,15,harsh,C,54.86,1
M0324,4.2,0.83,78.56,0.71,1703,9.989,0.359,20,indoor,A,265.55,1
M0325,14.32,1.96,109.43,0.85,2524,1.022,0.081,12,indoor,B,62.89,1
M0326,11.07,1.01,117.3,0.83,2876,5.996,0.193,8,harsh,A,72.82,1
M0327,8.32,0.77,109.27,0.86,555,1.284,0.951,10,outdoor,A,54.67,1
M0328,9.18,1.68,60.09,0.66,2956,1.968,0.409,10,indoor,A,71.46,1
M0329,6.29,1.49,98.18,0.4,715,4.676,0.467,5,outdoor,C,65.07,1
M0330,3.72,1.25,63.07,0.77,2536,5.349,0.053,0,outdoor,A,65.76,1
M0331,5.34,1.33,75.46,0.73,1201,2.959,0.038,5,outdoor,B,44.5,1
M0332,11.37,1.58,63.57,0.82,830,3.506,0.717,12,outdoor,C,46.77,1
M0333,0.22,0.84,96.23,0.42,1600,1.326,0.538,4,indoor,B,24.02,1
M0334,1.74,1.99,101.2,0.44,2110,3.381,0.509,14,harsh,B,60.64,0
M0335,0.69,1.96,66.87,0.92,1452,9.682,0.243,17,outdoor,B,83.73,1
M0336,0.61,1.48,83.03,0.82,636,9.475,0.745,19,outdoor,A,36.17,1
M0337,12.83,0.8,87.37,0.94,1999,3.681,0.168,13,indoor,B,48.06,1
M0338,10.55,1.52,82.14,0.83,2756,5.923,0.19,14,outdoor,B,29.08,1
M0339,7.11,0.61,67.26,0.72,1458,9.141,0.461,4,indoor,C,88.23,1
M0340,1.47,0.55,85.14,0.76,1041,0.559,0.286,3,indoor,C,35.68,1
M0341,7.37,0.89,105.07,0.92,1606,8.201,0.247,1,outdoor,C,79.15,1
M0342,7.1,1.19,64.26,0.71,621,9.51,0.645,6,indoor,C,13.17,1
M0343,2.6,1.8,64.81,0.74,2551,1.368,0.651,9,outdoor,B,57.18,1
M0344,6.51,1.59,81.29,0.41,2566,2.034,0.825,15,indoor,B,177.28,1
M0345,5.98,1.61,116.5,0.63,1970,9.627,0.418,9,outdoor,C,72.83,1
M0346,9.24,1.14,100.11,0.8,1383,5.607,0.073,17,indoor,A,34.2,1
M0347,9.53,1.02,100.72,0.49,2499,0.635,0.274,16,indoor,C,129.33,1
M0348,0.68,1.06,81.72,0.44,1887,2.948,0.98,20,indoor,B,116.46,1
M0349,5.62,1.98,95.62,0.52,2565,4.774,0.596,12,harsh,B,92.54,1
M0350,9.39,0.56,60.61,0.47,2079,7.083,0.71,0,harsh,B,66.46,1
M0351,7.55,1.8,98.17,0.45,2461,7.465,0.007,0,indoor,C,81.7,1
M0352,12.85,1.37,114.8,0.6,1996,9.957,0.518,14,outdoor,A,188.36,1
M0353,9.88,1.16,96.75,0.94,1535,3.231,0.038,0,outdoor,B,44.42,1
M0354,2.44,1.59,112.42,0.65,2895,5.613,0.569,5,harsh,B,61.91,1
M0355,1.06,1.23,103.44,0.43,1853,5.567,0.921,12,indoor,A,98.06,1
M0356,9.64,1.81,67.23,0.35,2013,4.354,0.968,0,outdoor,C,14.48,1
M0357,0.4,1.85,114.15,0.79,1051,2.107,0.541,4,indoor,B,13.22,1
M0358,8.79,1.13,63.99,0.57,2064,9.786,0.458,8,indoor,B,37.23,1
M0359,14.1,0.92,92.04,0.88,1929,8.607,0.945,16,harsh,A,71.73,1
M0360,8.63,1.39,68.53,0.76,962,5.234,0.674,15,outdoor,B,94.73,1
M0361,5.82,1.87,60.7,0.86,649,6.231,0.065,7,indoor,B,106.83,1
M0362,9.65,0.82,85.32,0.49,2011,2.659,0.466,16,indoor,B,22.04,1
M0363,6.87,1.43,77.7,0.78,2409,5.666,0.24,14,outdoor,A,84.94,1
M0364,8.18,1.45,89.16,0.48,1809,7.102,0.47,0,outdoor,C,109.54,1
M0365,14.12,1.6,94.63,0.96,1067,5.394,0.455,11,indoor,B,70.71,1
M0366,5.79,0.7,62.62,0.75,2166,9.908,0.582,4,harsh,B,57.08,0
M0367,14.42,1.57,67.38,0.53,700,6.308,0.357,5,indoor,B,128.67,1
M0368,13.58,1.86,93.52,0.49,1605,4.024,0.164,0,indoor,A,129.75,1
M0369,2.94,0.77,80.59,0.43,908,7.835,0.504,0,harsh,B,61.95,1
M0370,1.04,0.86,103.75,0.79,961,2.119,0.83,9,indoor,B,173.55,1
M0371,1.51,1.96,99.14,0.45,1006,4.153,0.664,9,indoor,B,80.21,1
M0372,0.27,0.77,110.74,0.72,1467,3.796,0.338,2,outdoor,B,57.81,0
M0373,1.42,1.78,101.55,0.49,628,4.602,0.936,16,harsh,B,41.12,1
M0374,10.25,1.24,85.8,0.76,1494,7.927,0.912,18,indoor,A,67.92,1
M0375,1.07,0.87,100.38,0.87,1779,5.1,0.209,10,harsh,B,17.78,1
M0376,4.78,1.81,76.52,0.84,1708,8.043,0.039,17,outdoor,A,136.84,1
M0377,12.67,1.17,78.38,0.83,1457,5.977,0.741,1,indoor,A,79.72,1
M0378,0.35,1.27,107.34,0.43,2598,3.75,0.828,8,outdoor,C,39.45,1
M0379,12.22,1.04,86.79,0.36,863,8.195,0.968,16,indoor,B,54.9,1
M0380,4.23,1.39,107.9,0.79,1764,2.764,0.89,13,outdoor,B,144.29,1
M0381,1.77,0.75,109.35,0.56,655,2.632,0.601,3,outdoor,B,134.12,1
M0382,10.45,1.09,111.45,0.6,678,5.293,0.53,16,harsh,C,52.66,1
M0383,9.43,1.95,115.0,0.32,1935,2.978,0.028,16,indoor,B,103.46,1
M0384,13.16,0.89,85.86,0.48,1915,0.586,0.247,11,outdoor,C,67.02,1
M0385,11.03,1.49,79.13,0.32,2695,6.659,0.46,19,outdoor,A,72.28,1
M0386,12.05,0.99,94.93,0.92,1895,5.355,0.629,17,indoor,C,139.19,1
M0387,4.23,1.66,82.27,0.47,2899,4.732,0.557,2,indoor,C,31.42,1
M0388,2.66,0.7,96.06,0.69,622,9.686,0.743,10,indoor,C,67.82,1
M0389,11.26,1.95,102.34,0.33,745,5.926,0.28,17,outdoor,A,65.22,1
M0390,12.1,1.18,101.3,0.77,610,8.703,0.565,3,outdoor,A,72.51,1
M0391,14.86,0.85,82.47,0.53,963,1.825,0.088,16,indoor,A,80.09,0
M0392,6.19,0.61,70.01,0.93,1853,5.907,0.414,17,harsh,A,78.97,1
M0393,5.58,0.75,85.83,0.92,2114,8.746,0.75,4,harsh,C,21.01,1
M0394,11.65,1.28,68.56,0.53,614,6.04,0.693,13,outdoor,A,93.44,1
M0395,5.11,1.01,113.41,0.93,2865,7.321,0.991,9,indoor,A,54.96,1
M0396,13.96,1.74,80.75,1.0,2605,4.034,0.278,14,outdoor,A,43.66,1
M0397,12.88,1.15,69.27,0.88,1242,1.378,0.498,0,indoor,A,31.79,1
M0398,6.43,0.87,61.53,0.89,693,4.85,0.33,15,indoor,A,184.49,1
M0399,11.26,1.43,98.75,0.47,925,4.248,0.441,10,outdoor,C,56.27,1
M0400,11.32,1.56,98.21,0.7,817,8.737,0.857,19,indoor,B,100.98,1
M0401,1.55,0.75,80.44,0.35,808,2.818,0.684,5,indoor,A,60.78,0
M0402,13.54,0.75,64.3,0.37,1796,9.684,0.882,15,indoor,B,114.17,1
M0403,7.58,0.56,84.58,1.0,1115,9.602,0.204,1,indoor,B,80.36,1
M0404,12.4,1.6,78.67,0.53,1395,2.853,0.873,0,indoor,A,78.89,1
M0405,4.8,1.5,100.63,0.82,2974,3.806,0.06,8,harsh,B,46.54,1
M0406,13.43,1.21,96.35,0.86,2211,9.008,0.889,11,indoor,B,91.51,1
M0407,5.84,1.77,81.88,0.9,2872,9.683,0.329,16,indoor,B,83.58,1
M0408,0.16,1.71,73.07,1.0,856,4.713,0.315,14,indoor,B,81.73,0
M0409,13.58,1.38,119.28,0.47,1455,3.549,0.512,18,harsh,A,106.88,1
M0410,1.37,1.8,87.24,0.33,1887,5.498,0.941,9,outdoor,C,34.18,1
M0411,4.79,0.81,101.3,0.59,692,7.034,0.048,11,indoor,C,36.8,1
M0412,14.25,0.67,68.43,0.39,510,3.098,0.352,13,harsh,C,69.63,1
M0413,14.26,0.9,89.14,0.32,2176,7.496,0.857,8,indoor,A,63.55,1
M0414,8.6,0.59,61.65,0.55,2105,0.991,0.396,12,indoor,C,15.77,1
M0415,9.48,1.3,90.33,0.85,1527,0.968,0.199,2,indoor,C,135.1,1
M0416,6.73,1.9,117.84,0.7,1724,4.17,0.425,20,indoor,C,45.24,1
M0417,4.4,0.56,83.05,0.52,1539,3.858,0.386,13,indoor,A,142.81,0
M0418,4.93,0.68,62.34,0.76,560,3.499,0.915,20,outdoor,B,147.65,1
M0419,10.09,1.18,61.86,0.46,1338,5.165,0.762,9,indoor,C,116.87,1
M0420,11.29,1.9,83.28,0.31,943,3.547,0.505,15,outdoor,B,46.46,1
M0421,11.87,0.97,69.6,0.84,746,2.326,0.988,6,indoor,B,60.31,1
M0422,11.84,1.26,61.4,0.74,2892,3.44,0.465,3,indoor,C,75.52,1
M0423,1.37,0.56,105.37,0.83,1998,9.762,0.058,19,outdoor,B,42.16,1
M0424,7.42,0.72,87.51,0.33,2322,4.406,0.262,10,harsh,B,45.23,1
M0425,0.86,1.98,77.35,0.89,1288,4.725,0.436,15,indoor,B,78.61,1
M0426,8.24,1.95,114.0,0.73,1483,5.977,0.157,19,outdoor,C,30.59,1
M0427,6.62,0.51,66.97,0.69,1092,9.842,0.948,3,indoor,A,57.14,1
M0428,13.32,1.93,117.36,0.74,742,2.795,0.767,16,indoor,B,125.96,1
M0429,5.26,1.46,78.84,0.91,948,6.972,0.268,12,indoor,B,49.61,1
M0430,1.76,1.8,113.3,0.71,2494,7.302,0.591,10,indoor,C,13.78,1
M0431,2.14,1.18,96.18,0.71,2194,6.27,0.721,2,indoor,B,101.63,1
M0432,11.42,1.27,109.6,0.99,1867,1.341,0.941,8,indoor,C,99.54,0
M0433,9.27,1.23,119.04,0.83,1688,6.93,0.882,5,outdoor,C,40.41,1
M0434,1.52,1.5,77.3,0.61,2806,1.109,0.515,20,indoor,A,55.03,1
M0435,1.26,0.71,117.67,0.8,682,6.163,0.775,10,outdoor,B,65.39,0
M0436,10.51,0.54,83.37,0.57,1202,7.526,0.562,15,indoor,A,194.47,1
M0437,1.09,0.96,83.13,0.46,1375,2.504,0.553,18,outdoor,A,137.06,0
M0438,12.33,1.56,80.42,0.72,2456,8.495,0.115,4,outdoor,B,77.57,1
M0439,10.59,0.8,92.48,0.95,2981,0.788,0.126,13,indoor,C,58.57,1
M0440,1.22,1.51,69.25,0.95,1102,8.516,0.53,16,indoor,C,91.14,1
M0441,1.27,1.95,93.22,0.54,2686,4.873,0.269,2,outdoor,A,29.99,1
M0442,14.8,0.64,92.5,0.67,2577,2.567,0.021,3,harsh,A,72.97,0
M0443,5.61,1.51,105.71,0.45,1062,1.771,0.723,15,indoor,B,136.23,1
M0444,5.56,1.17,110.02,1.0,1498,9.556,0.032,15,indoor,B,186.41,1
M0445,12.19,1.8,86.43,0.99,1524,1.19,0.595,20,harsh,A,46.61,1
M0446,14.21,0.77,78.14,0.75,2946,2.391,0.539,3,indoor,C,11.59,1
M0447,14.79,1.54,75.56,0.86,952,3.804,0.969,18,outdoor,C,71.14,1
M0448,11.3,1.76,71.68,0.8,2498,6.392,0.484,16,indoor,B,117.1,1
M0449,5.64,1.92,63.46,0.72,1335,5.676,0.064,12,indoor,C,126.71,1
M0450,1.25,1.52,80.55,0.34,2327,1.694,0.552,0,outdoor,A,51.07,1
M0451,11.66,1.25,76.21,0.62,1550,3.252,0.841,11,outdoor,B,52.9,1
M0452,8.38,1.43,117.99,0.77,1946,2.768,0.997,3,indoor,B,80.06,1
M0453,6.36,1.8,93.46,0.77,2582,2.529,0.43,10,outdoor,A,64.26,1
M0454,13.6,1.36,80.84,0.56,2510,4.406,0.32,4,outdoor,C,88.71,0
M0455,1.67,0.55,94.83,0.96,2666,7.188,0.907,1,outdoor,B,68.53,1
M0456,7.39,1.9,68.35,0.42,649,2.566,0.191,16,indoor,B,115.36,0
M0457,0.17,1.53,86.64,0.65,2230,3.983,0.615,7,outdoor,A,101.71,1
M0458,7.03,1.51,97.57,0.78,850,4.214,0.406,5,outdoor,A,122.59,1
M0459,0.84,0.82,89.33,0.79,1540,9.776,0.041,20,outdoor,A,74.08,1
M0460,1.78,1.49,84.11,0.75,1871,9.569,0.347,8,outdoor,B,119.37,1
M0461,1.76,1.09,119.63,0.49,1507,8.101,0.265,12,indoor,B,59.64,1
M0462,9.74,1.48,112.82,0.41,1799,2.796,0.686,10,outdoor,A,85.67,1
M0463,11.19,0.66,97.4,0.75,2991,1.146,0.949,15,outdoor,B,46.16,1
M0464,8.75,1.49,94.16,0.72,838,3.511,0.268,15,indoor,B,94.43,1
M0465,14.43,2.0,97.24,0.43,2189,3.035,0.811,1,outdoor,B,47.58,1
M0466,5.62,0.57,72.08,0.79,1490,5.306,0.055,9,indoor,B,69.93,1
M0467,4.29,1.97,83.71,0.62,833,7.888,0.538,11,outdoor,C,143.2,1
M0468,13.03,1.11,62.37,0.77,897,8.654,0.071,7,indoor,B,44.7,1
M0469,3.35,1.81,88.53,0.89,2873,8.526,0.934,10,outdoor,B,102.88,1
M0470,14.45,1.67,92.58,0.42,2699,3.917,0.766,9,harsh,A,140.32,1
M0471,0.18,1.35,73.66,0.31,2768,7.029,0.658,12,outdoor,A,15.84,1
M0472,14.55,1.61,117.84,0.85,2979,3.472,0.824,16,harsh,A,72.71,1
M0473,0.65,1.82,114.57,0.73,1021,1.079,0.648,6,harsh,B,39.78,1
M0474,13.37,1.11,103.33,0.79,1389,7.165,0.969,2,indoor,A,20.15,1
M0475,7.92,0.99,92.0,0.89,2173,0.593,0.714,19,outdoor,A,85.2,1
M0476,14.89,1.5,112.2,0.86,1710,4.387,0.925,12,outdoor,C,109.15,1
M0477,1.11,1.71,67.84,0.97,1546,3.629,0.517,18,harsh,A,10.84,1
M0478,8.31,1.64,107.43,0.68,1395,7.087,0.117,6,indoor,A,58.71,0
M0479,14.54,1.7,67.49,0.64,1984,7.779,0.528,8,harsh,A,58.62,1
M0480,7.85,1.15,107.65,0.58,1939,3.389,0.127,18,outdoor,C,117.3,1
M0481,9.44,1.73,76.55,0.41,904,8.21,0.592,12,outdoor,A,30.03,1
M0482,10.44,0.68,112.63,0.7,1679,3.292,0.482,7,indoor,B,109.94,1
M0483,6.82,1.32,116.64,0.49,1884,4.74,0.623,17,indoor,B,113.83,1
M0484,9.41,0.51,68.93,0.94,1926,7.407,0.01,1,outdoor,B,94.7,1
M0485,8.76,0.99,87.76,0.71,1025,7.083,0.195,17,indoor,B,196.58,1
M0486,13.52,1.05,118.86,0.71,2356,9.88,0.491,17,harsh,C,63.65,1
M0487,0.68,1.09,89.0,0.55,563,2.639,0.951,10,indoor,A,30.53,1
M0488,4.21,1.54,111.81,0.34,1387,6.792,0.384,0,outdoor,A,72.61,1
M0489,14.26,1.08,95.32,0.32,2451,6.292,0.424,13,indoor,A,78.36,1
M0490,13.35,1.17,82.52,0.6,1910,9.193,0.715,15,outdoor,A,57.16,1
M0491,6.83,0.86,77.15,0.36,1153,1.985,0.604,10,outdoor,A,95.83,1
M0492,9.3,1.06,72.19,0.72,2237,7.642,0.299,0,indoor,A,76.69,1
M0493,4.16,0.84,105.71,0.92,1918,5.899,0.411,6,indoor,B,78.26,1
M0494,2.82,0.61,83.19,0.92,2491,3.109,0.218,15,indoor,B,247.18,0
M0495,6.96,1.41,90.68,0.76,2338,5.007,0.966,13,outdoor,A,30.56,1
M0496,5.3,1.5,89.54,0.45,2025,3.671,0.131,14,outdoor,B,98.57,0
M0497,8.75,1.43,94.64,0.9,1720,6.003,0.372,13,outdoor,A,80.14,1
M0498,1.17,1.2,111.93,0.92,833,8.946,0.026,20,outdoor,A,107.97,1
M0499,14.62,1.07,118.84,0.44,1153,5.908,0.222,10,outdoor,B,108.12,1
M0500,14.79,1.8,84.46,0.82,1548,6.501,0.78,15,indoor,A,73.52,1
M0501,10.47,1.28,109.65,0.5,1998,5.428,0.201,18,indoor,A,87.76,1
M0502,8.04,1.22,105.87,0.86,1784,0.986,0.08,16,indoor,B,86.22,1
M0503,4.64,0.54,94.41,1.0,1220,2.712,0.474,5,harsh,C,43.95,1
M0504,12.21,1.01,117.36,0.32,516,5.174,0.01,10,harsh,B,108.77,1
M0505,10.27,1.07,72.03,0.93,1741,3.447,0.085,16,indoor,A,52.88,0
M0506,2.44,1.1,66.56,0.74,1214,2.227,0.808,8,outdoor,C,32.53,1
M0507,13.66,1.37,111.24,0.98,2337,5.289,0.771,17,harsh,B,20.91,1
M0508,12.34,1.3,86.35,0.63,560,3.567,0.915,16,outdoor,B,73.78,1
M0509,14.25,1.41,110.82,0.89,1962,2.952,0.855,11,indoor,C,25.68,1
M0510,10.89,1.65,113.59,0.34,2854,4.908,0.683,4,indoor,B,87.38,1
M0511,9.2,1.72,63.75,0.53,936,1.766,0.052,10,outdoor,A,48.18,1
M0512,6.27,1.58,113.01,0.35,1679,9.314,0.783,3,harsh,B,50.03,1
M0513,13.99,1.93,86.9,0.98,729,8.743,0.846,3,outdoor,B,6.43,1
M0514,12.99,0.53,90.63,0.87,2064,7.222,0.799,2,indoor,B,57.67,1
M0515,0.68,0.79,97.6,0.9,1876,1.509,0.508,16,indoor,B,143.28,1
M0516,0.4,0.51,115.58,0.96,1518,7.871,0.233,6,outdoor,C,60.83,1
M0517,5.65,1.47,61.15,0.36,1803,8.176,0.845,3,harsh,C,53.92,0
M0518,12.16,1.85,88.61,0.57,2741,7.794,0.727,12,outdoor,C,94.8,1
M0519,14.81,0.87,101.26,0.35,991,1.583,0.981,11,outdoor,C,51.53,1
M0520,2.26,1.89,103.36,0.45,556,6.617,0.156,0,indoor,C,18.49,1
M0521,8.91,0.59,101.55,0.46,2654,8.426,0.226,20,harsh,A,105.62,1
M0522,5.71,1.9,68.07,0.63,1943,5.985,0.212,18,outdoor,A,178.86,1
M0523,14.55,1.03,77.96,0.49,2727,6.641,0.793,20,indoor,B,119.18,0
M0524,12.63,0.65,81.52,0.37,1992,4.854,0.187,19,outdoor,C,31.5,1
M0525,12.57,1.23,108.27,0.42,2525,5.523,0.067,17,indoor,B,90.62,0
M0526,7.03,0.89,76.73,0.4,1574,0.827,0.999,10,indoor,B,58.09,0
M0527,6.22,0.93,72.64,0.98,2375,6.57,0.025,19,indoor,A,67.9,0
M0528,4.1,0.96,117.45,0.83,2783,1.274,0.835,2,indoor,A,173.22,1
M0529,0.85,1.7,60.53,0.98,1930,4.633,0.365,16,indoor,B,69.84,1
M0530,12.97,1.31,119.87,0.61,952,3.28,0.842,11,outdoor,A,144.44,1
M0531,12.19,0.97,100.61,0.49,1172,5.682,0.555,9,outdoor,A,58.74,1
M0532,15.0,1.42,109.71,0.86,997,1.767,0.902,7,outdoor,A,87.86,0
M0533,14.95,1.57,77.68,0.53,1117,7.071,0.926,14,indoor,A,65.39,1
M0534,8.33,0.91,60.86,0.51,1266,8.053,0.009,4,indoor,B,199.15,1
M0535,11.53,1.12,104.27,0.46,1888,2.052,0.075,3,outdoor,A,22.72,1
M0536,14.17,0.68,110.05,0.39,1970,1.491,0.25,20,indoor,B,128.05,1
M0537,12.74,0.77,104.43,0.48,1566,1.882,0.669,19,indoor,A,112.74,1
M0538,3.71,1.52,68.57,0.55,2039,8.833,0.888,18,harsh,C,50.88,1
M0539,6.76,0.77,105.21,0.77,704,5.518,0.46,20,outdoor,A,57.52,1
M0540,1.94,1.29,106.14,0.34,719,4.939,0.607,3,harsh,B,79.07,1
M0541,14.31,1.56,99.51,0.45,930,1.514,0.188,14,outdoor,B,43.78,1
M0542,9.09,0.66,105.97,0.87,1795,6.671,0.805,16,indoor,A,104.33,1
M0543,3.43,1.35,110.76,0.4,1035,8.746,0.967,11,outdoor,C,39.01,1
M0544,10.08,0.88,96.82,0.54,1208,8.368,0.269,2,indoor,B,131.17,0
M0545,9.27,1.94,65.32,0.91,1501,6.448,0.495,9,outdoor,B,15.49,1
M0546,5.37,1.23,89.26,0.41,2530,1.215,0.086,14,indoor,A,66.1,1
M0547,1.7,1.71,64.66,0.36,535,1.568,0.559,9,harsh,C,41.24,1
M0548,10.07,1.33,84.45,0.64,2123,0.968,0.503,17,indoor,C,74.38,1
M0549,7.8,0.57,84.43,0.51,2172,2.946,0.144,0,harsh,A,41.4,1
M0550,11.58,1.45,63.96,0.69,2497,1.789,0.442,2,harsh,A,64.4,1
M0551,7.8,1.93,80.93,0.86,2832,2.97,0.334,20,outdoor,C,59.67,0
M0552,12.78,1.4,66.66,0.4,550,4.158,0.522,11,outdoor,B,113.22,1
M0553,8.28,1.73,108.49,0.71,884,9.458,0.586,0,outdoor,C,58.09,1
M0554,8.41,1.83,116.86,0.65,2715,6.299,0.008,2,harsh,B,17.43,1
M0555,13.15,0.84,64.34,0.4,1646,8.432,0.761,2,outdoor,B,92.57,1
M0556,6.05,0.82,117.31,0.74,1911,7.248,0.713,4,outdoor,A,38.02,1
M0557,2.01,1.42,91.35,0.49,2158,1.569,0.366,18,outdoor,A,156.56,1
M0558,0.43,1.12,77.97,0.64,2198,7.491,0.053,0,harsh,B,38.15,1
M0559,11.33,1.76,64.61,0.36,2829,3.113,0.755,3,outdoor,C,53.82,1
M0560,9.3,1.85,90.04,0.62,2992,6.572,0.955,3,outdoor,A,55.79,1
M0561,10.56,1.03,107.67,0.51,2300,3.739,0.24,16,outdoor,B,128.18,1
M0562,3.19,0.86,102.43,0.88,1218,9.978,0.324,13,harsh,B,25.57,1
M0563,2.05,1.67,63.01,0.34,2699,3.004,0.184,17,outdoor,B,107.55,1
M0564,0.22,0.91,64.37,0.59,623,3.152,0.577,0,indoor,C,44.14,1
M0565,5.26,1.73,84.17,0.62,1078,9.341,0.155,15,outdoor,C,86.45,1
M0566,8.85,1.14,77.72,0.81,2743,0.734,0.356,2,harsh,A,122.39,1
M0567,5.88,1.5,73.94,0.7,1140,7.119,0.697,20,outdoor,C,65.55,1
M0568,6.56,0.64,76.86,0.77,1052,7.391,0.56,8,harsh,C,50.8,1
M0569,13.56,1.44,108.21,0.84,845,8.446,0.386,3,indoor,C,100.71,0
M0570,5.22,1.18,115.75,0.9,2648,9.757,0.42,20,outdoor,B,71.74,1
M0571,7.71,1.38,84.31,0.52,1750,9.768,0.562,4,outdoor,C,55.77,1
M0572,11.75,0.75,114.37,0.68,2187,1.12,0.006,10,harsh,A,71.81,1
M0573,5.95,1.61,79.29,0.89,1098,8.307,0.079,20,indoor,A,51.53,0
M0574,9.33,1.79,88.59,0.99,2395,6.64,0.881,8,harsh,C,17.21,1
M0575,12.94,0.83,73.56,0.92,2400,6.65,0.078,2,outdoor,A,122.41,1
M0576,14.24,0.64,98.43,0.56,1281,1.719,0.707,5,indoor,A,88.89,1
M0577,2.21,0.54,118.74,0.44,1527,6.677,0.92,10,indoor,C,24.48,1
M0578,13.9,1.46,96.21,0.64,1024,9.834,0.271,8,indoor,C,88.69,0
M0579,7.38,1.41,81.47,0.82,2941,9.162,0.37,14,outdoor,A,65.55,1
M0580,3.87,1.32,98.87,0.64,2114,4.672,0.569,2,indoor,C,27.81,1
M0581,6.89,0.85,67.38,0.64,2836,0.88,0.882,0,indoor,B,115.04,1
M0582,14.7,1.09,113.32,0.89,1258,3.942,0.942,19,harsh,B,96.96,1
M0583,7.39,1.39,90.19,0.55,2455,8.351,0.74,18,indoor,C,128.76,1
M0584,4.93,1.25,86.96,0.9,2415,7.164,0.087,13,indoor,B,194.47,1
M0585,9.5,1.98,95.15,0.58,2229,4.864,0.669,16,outdoor,A,138.69,1
M0586,3.6,0.7,97.49,0.53,2914,1.023,0.41,13,outdoor,A,5.44,1
M0587,1.14,1.54,64.31,0.62,1484,4.555,0.471,16,outdoor,B,81.61,1
M0588,1.93,1.11,100.96,0.83,827,4.956,0.049,13,outdoor,B,136.88,1
M0589,1.92,1.14,74.52,0.39,2179,9.321,0.191,11,outdoor,C,55.03,1
M0590,2.28,1.58,102.84,0.44,2323,6.59,0.791,15,outdoor,C,73.03,1
M0591,2.08,1.54,109.35,0.97,1938,3.461,0.454,0,indoor,B,97.38,1
M0592,9.61,1.99,108.24,0.42,1017,5.491,0.302,12,indoor,C,56.98,1
M0593,2.73,0.69,93.15,0.7,1761,1.128,0.384,5,outdoor,A,134.65,0
M0594,5.19,0.66,91.21,0.71,1280,9.739,0.854,16,indoor,A,103.07,1
M0595,13.45,1.59,68.57,0.64,1569,3.921,0.749,11,outdoor,C,61.41,1
M0596,7.11,1.37,106.52,0.75,2113,5.04,0.272,18,outdoor,A,252.18,1
M0597,10.01,0.91,76.28,0.46,2363,3.875,0.118,5,indoor,A,101.6,1
M0598,2.58,0.62,89.8,0.69,1081,6.984,0.252,6,indoor,B,51.59,1
M0599,2.88,0.63,77.06,0.56,1513,6.791,0.921,0,indoor,B,94.01,1
M0600,0.61,1.84,68.03,0.76,1173,7.296,0.582,0,outdoor,C,101.02,1
M0601,2.53,0.79,97.77,0.4,997,3.047,0.533,4,outdoor,A,119.77,0
M0602,4.18,0.99,63.26,0.7,2458,3.499,0.596,5,outdoor,A,142.57,1
M0603,2.66,0.84,104.92,0.43,2773,1.69,0.366,15,indoor,A,152.24,1
M0604,1.33,1.03,79.06,0.5,1426,6.727,0.807,15,outdoor,B,58.18,1
M0605,1.81,0.6,60.01,0.45,2378,0.878,0.523,13,harsh,A,157.35,1
M0606,6.91,1.28,90.67,0.43,2742,6.178,0.117,0,indoor,B,146.27,1
M0607,3.1,0.6,62.81,0.88,2615,8.762,0.129,12,outdoor,C,39.56,1
M0608,5.46,1.7,76.57,0.5,957,8.963,0.537,19,harsh,C,23.78,1
M0609,7.55,0.85,102.42,0.95,2891,4.766,0.937,9,indoor,A,213.37,1
M0610,10.36,1.31,63.76,0.98,1442,4.863,0.308,9,outdoor,B,138.86,1
M0611,0.59,1.82,110.36,0.7,1348,1.231,0.87,8,indoor,B,170.62,1
M0612,11.99,1.48,60.23,0.4,656,6.872,0.764,12,outdoor,C,53.84,0
M0613,9.42,1.3,74.81,0.56,1715,8.302,0.248,2,indoor,C,73.51,1
M0614,1.23,0.99,104.45,0.86,773,2.824,0.036,17,harsh,A,99.99,1
